name,ra,dec
KSN 2017H,09:04:56.56,+14:40:08.9
KSN 2017I,08:42:42.42,+13:58:04.0
KSN 2017J,08:26:18.18,+20:39:52.2
KSN 2017K,09:01:58.58,+13:46:44.2
KSN 2017L,09:07:18.18,+20:56:39.4
KSN 2017M,09:02:57.57,+12:03:04.2
KSN 2018A,09:11:22.99,+23:51:28.45
KSN 2018B,09:06:15.26,+17:20:21.64
KSN 2018C,09:15:38.72,+17:18:22.25
KSN 2018D,09:14:10.22,+14:15:37.30
KSN 2018E,08:40:52.96,+17:56:53.46
KSN 2018F,08:40:10.63,+23:52:12.55
KSN 2018H,08:50:07.57,+13:18:50.00
KSN 2018I,09:15:40.9,+21:22:21.5
KSN 2018J,09:06:39.54,+19:20:17.7
KSN 2018K,09:23:27.27,+17:11:03.40
