ra,dec
191.340729,1.83062
187.877762,-1.35815
188.794922,-3.62672
191.070847,-7.18504
180.941849,-3.04127
188.52771,0.481167
182.333908,-6.60857
190.015259,-0.879773
180.491821,-0.320084
192.272827,-1.68773
190.362076,-1.44906
189.979538,1.63575
185.546646,-0.145684
182.740799,-8.96554
188.248596,-0.699509
184.947372,3.12571
180.239746,-2.75659
191.542023,-6.55871
189.336761,-10.4858
190.589386,-5.36186
189.28952,-10.8098
193.168884,-2.7359
187.621857,-3.67724
192.408707,-1.76762
189.534927,-9.23657
182.431824,-2.08323
188.21666,0.823985
183.18396,-6.45225
184.083099,-3.41364
181.254425,-1.98431
183.506775,-9.5694
191.374268,-8.4149
188.575516,-4.81591
192.454086,-1.65683
189.58519,1.59325
184.734085,-1.02474
182.071091,-0.462027
181.454498,-2.97501
182.479111,-7.07995
190.9534,0.445376
189.08342,-11.3797
185.944489,-3.05977
180.380051,-3.61723
180.868271,0.0601875
183.728516,-2.41965
191.521255,-6.97153
183.436417,-6.96706
181.091599,-0.719349
183.040955,-7.42103
184.646744,-10.2901
183.908493,-2.42609
180.38916,-3.13246
191.016312,0.77304
182.497467,-0.896941
187.500778,-2.1747
180.542694,-1.79148
185.484436,1.38258
189.651688,-9.14845
184.533676,-4.63253
182.536118,-7.33062
188.859024,-3.60214
185.952698,-3.35784
191.912277,-6.65064
187.968781,-10.7749
186.210175,-7.92143
190.972977,-8.20393
193.679489,-2.14731
183.869308,3.1841
193.645584,-2.57011
189.120346,-4.40758
190.970657,0.553446
190.383514,1.51368
182.080002,-0.660941
181.850037,-9.11251
187.95137,-10.4771
190.106247,1.3259
190.919724,-7.32844
181.822891,-4.25009
183.355087,-7.05856
185.796295,-5.0545
189.185364,-10.6444
191.091019,-7.52862
189.841995,-0.530324
191.630783,1.4872
189.569031,1.62027
192.051361,-1.42847
187.17392,1.41594
183.355347,-6.86233
188.170197,1.26019
189.206467,-10.683
182.475082,-5.28901
190.288055,-4.07379
187.404633,-3.11891
186.995377,1.28438
190.281921,-1.36774
184.881058,3.1415
183.588058,-6.60982
190.664413,-2.23826
193.395508,-2.2382
190.601288,-2.04858
189.85173,-5.65955
188.872803,-3.80275
192.359299,-1.66389
187.396286,-4.62785
185.623886,1.5136
186.841827,-3.45155
184.288376,-2.526
191.031158,1.10933
188.266647,-1.53782
191.698593,-6.62549
191.591782,1.09588
181.853058,-3.15249
191.320511,0.242693
183.422287,0.196486
181.090561,-2.64613
193.040619,-1.64271
190.787003,-2.7623
190.169556,-5.09213
186.696198,-4.66955
187.622147,-1.82183
186.703491,-9.2345
187.111343,-1.12883
180.389648,-2.85817
189.97171,2.09713
191.111389,-6.58012
191.392365,-7.53715
189.700607,0.270063
180.623505,-0.338967
180.996643,-2.10764
192.7314,-2.22925
192.296127,-8.50614
190.543518,-5.68552
182.101364,-8.1483
183.703064,-3.34042
186.923798,-7.95995
181.706406,0.891368
187.161072,-2.9695
187.826813,-0.848706
189.415695,-0.822472
187.257721,-2.275
185.324493,-1.25412
192.942703,-0.939476
187.074249,-8.92338
192.050949,-1.36028
191.17276,-8.6292
186.139313,-10.6408
182.044388,-2.84279
185.666992,0.938154
192.278458,-1.9609
182.366821,-8.33447
188.911972,1.82031
185.806091,-4.96774
189.604111,2.44344
189.442215,-2.50105
190.72525,0.254001
192.367065,-8.6486
192.268311,-8.88042
182.634155,-0.163554
180.742752,0.0302549
193.568192,-3.39198
193.527679,-1.28393
187.333542,-1.96413
186.873825,-2.21634
192.240509,-1.99025
192.40477,-1.52985
184.270355,-3.70961
191.687653,-7.86644
190.882919,-3.55928
184.294891,-3.19295
184.569412,-2.70718
190.575668,-0.763773
181.035538,-0.113227
187.908447,-0.15221
192.434433,-7.68593
187.850342,-10.0674
192.258469,-1.38829
192.571579,-7.66792
184.786423,-1.80807
193.157578,-1.6113
188.534363,1.84337
190.091568,1.04562
182.036041,-2.30378
182.539169,-6.15939
191.227646,0.856119
189.866791,-10.2644
187.969193,2.68009
186.620316,-3.87182
190.985306,-1.76991
191.341049,-8.72548
186.514648,-6.21793
183.386826,-1.32469
184.258041,-8.71616
189.428833,-1.02854
186.205444,-10.5652
185.495529,2.76191
189.139374,-5.38375
191.690079,-8.64903
192.146774,-7.60057
186.514267,-3.01853
180.158051,-6.85602
180.688934,-3.7892
188.152863,2.31468
189.415573,-10.1789
189.512039,-3.41551
190.992905,-1.63149
185.335556,-7.23593
183.720291,-7.02267
184.204468,-3.13194
181.471313,-2.98069
183.9207,3.40269
190.161041,-5.26474
182.869064,0.378669
183.486908,-0.865685
191.426468,-7.9102
192.512466,-1.56259
182.712494,-8.00129
187.059967,0.880613
182.578339,-5.87071
190.414932,-5.46753
192.366577,-1.48674
190.057205,-4.10858
181.252792,-5.88173
180.389938,-2.87472
192.355789,-1.75712
180.825027,0.919939
191.085602,0.991572
190.833038,1.86129
185.13623,3.00427
190.902191,0.698472
192.276703,-8.34531
181.981995,-0.614891
187.553284,-2.11611
184.025757,-7.46943
186.924118,-3.05786
186.734955,1.21367
180.98819,-5.7605
193.546799,-2.85895
181.679276,-0.203842
183.780716,-6.87651
183.79364,-7.00796
189.647018,-4.93787
192.099197,-1.37759
190.650116,-1.23169
190.382904,2.30902
188.410004,0.333153
186.706665,1.57358
188.797989,-3.48045
185.771118,-3.41252
185.665787,1.72886
182.884949,-8.535
186.766571,-10.6822
181.086273,0.753984
180.48555,-3.90725
186.68219,-9.5949
188.352539,2.15467
187.571167,2.25219
180.842361,-4.04503
192.491104,-2.39876
189.022552,-0.900048
193.726151,-2.94736
188.762146,2.45496
182.6539,-5.95705
190.367584,-1.44065
186.494476,-2.22323
190.489929,0.831876
183.602402,-3.57539
180.523849,-2.58139
190.076599,-2.57799
189.035034,-0.645525
183.71756,-6.8006
185.72139,-7.60795
188.488556,1.85339
186.094025,-2.18511
190.5896,0.177188
188.903351,-10.6387
190.65155,-5.07406
186.805801,-9.26922
189.645172,0.425531
189.500473,-3.88512
186.541962,-1.15643
185.977112,-3.25544
181.524506,0.463885
192.129013,-7.6543
190.275116,-2.20856
191.194656,1.54671
187.103775,-2.37692
187.625229,-0.252099
189.533981,-3.24842
192.428055,-3.12264
182.473953,-9.7873
185.487549,-10.4415
192.822845,-1.95329
186.78476,-2.94113
191.981339,-7.03982
185.974106,2.8049
192.268921,-1.34653
192.121658,-1.06606
185.629272,1.01523
189.256561,0.917171
192.857864,-1.82804
183.947479,2.07003
183.20134,-6.14956
187.858322,-10.4247
186.016556,2.31228
192.94989,-8.8318
183.433792,-0.500409
189.563919,1.13759
192.493469,-1.50407
187.929779,-2.05137
185.505615,1.03202
191.127289,2.18336
186.131927,2.55839
191.131058,-1.32322
191.260254,0.895051
180.748489,0.86469
183.98204,1.64287
190.693069,-2.1047
180.48938,-2.41299
188.746994,1.84071
186.644409,-10.0704
183.298798,-6.08932
183.460037,-0.239846
188.14975,-1.95005
192.512421,-1.7259
187.578217,-0.564739
185.964661,2.62271
183.075577,-3.20018
188.771683,1.76912
185.076828,3.00922
192.509247,-2.53179
180.505157,-5.41088
186.174255,-3.35359
183.727112,-5.51751
192.310211,-1.3591
184.556717,-10.4468
184.344025,-1.69288
184.263733,-3.19169
192.267227,-1.32683
189.339798,-9.72508
181.443298,-3.01652
189.225159,-10.7279
193.383972,-1.86819
186.5793,-2.93158
180.116516,-6.60623
182.558029,-0.436615
186.836136,2.54936
190.129944,-1.01176
181.982162,-0.544335
183.245132,-1.35626
192.244431,-7.38608
187.895172,0.638562
189.432709,-1.78693
184.177628,-0.796499
181.047394,-3.15681
187.799377,-2.21782
184.92099,-2.79463
190.259232,-2.23424
188.864746,1.79587
183.897034,-2.8247
181.41301,-7.09165
184.724365,1.26599
186.13028,-7.46039
190.733948,0.548528
186.630554,-9.0907
185.675629,0.940313
189.566727,0.463661
188.617706,-3.25533
183.300262,-0.574428
189.197922,-9.85105
186.687088,-0.621631
185.310242,-7.24703
191.686539,1.46431
190.607315,1.39902
184.974457,2.9308
191.989685,-2.43882
191.4608,1.34097
190.117767,-5.43731
192.183578,-8.02886
191.223846,1.47449
191.025299,0.034937
181.783203,0.156544
188.426437,2.13695
189.833191,-2.53937
182.048813,0.0636268
190.937393,1.90965
183.331696,-2.80421
189.026199,-11.1945
186.661377,-2.86977
184.08374,1.27886
183.666992,-8.37942
189.175049,-9.92173
183.693344,1.59652
183.538727,-0.938597
182.828918,-3.84935
187.106552,-6.23904
184.597961,-1.5105
187.363663,-6.02214
185.462234,1.35157
190.664001,0.569652
187.047623,-0.636015
187.852249,-9.88185
184.648209,-6.16065
180.513763,-2.86669
187.648987,-4.31109
187.0569,0.616804
191.350677,-7.30438
188.825897,-4.81846
187.975449,-2.09723
190.747589,-4.79834
189.654068,-10.607
189.696426,-2.46588
181.681335,-4.92013
187.119736,1.78057
188.651855,-3.21609
186.707321,-10.5316
189.56636,-3.33581
191.121384,-0.821383
187.597183,-1.6256
180.743851,-6.84615
193.215851,-2.20432
182.628967,-5.60651
184.019791,-8.73267
193.68837,-3.11425
192.225296,-2.58729
189.27774,-2.10277
183.991699,-1.6514
182.676254,-0.158916
191.233627,2.05795
184.602448,-0.928994
184.147644,-4.68662
183.987823,-8.79422
182.477356,0.479772
189.342331,-0.791043
183.949814,-7.17758
189.721603,-2.69005
182.87204,-3.19059
189.605957,-2.61944
191.207443,1.86971
188.498993,1.53283
189.86441,-2.82712
192.461807,-2.7221
192.07045,-0.858104
186.066391,2.31407
184.573532,2.35574
186.068985,-9.44303
183.82605,-1.10985
182.114532,-2.34211
184.527115,1.90703
191.111801,-7.21152
186.998322,2.43038
180.880371,0.850964
181.894089,-8.54622
192.863205,-1.05008
185.985748,-4.8528
190.490021,-4.87619
185.792053,2.92856
187.999924,-2.51425
183.370316,-0.964288
190.427444,-2.75916
192.496201,-1.3834
184.836899,-0.241531
188.604462,-0.42172
182.783585,-5.60111
187.420486,-6.26813
185.136765,0.0714847
184.837067,1.36103
189.899185,-10.4098
191.034622,2.226
190.608734,-5.55071
191.129028,1.91096
192.180756,-8.58603
183.825027,-3.42938
189.346176,-4.71717
183.825272,-0.553866
184.308594,1.58884
188.943008,1.94754
184.375412,-3.51192
182.943329,-8.40972
184.614532,2.44464
185.583023,1.33472
191.882767,-7.54926
182.47789,-0.557697
183.075516,-5.93605
187.441727,-1.01896
188.21048,-1.06041
185.927719,0.962248
180.692673,-0.247215
193.565964,-2.89732
181.646515,-0.41399
180.875992,-2.43688
183.834641,-7.36107
181.439331,-1.91911
184.940079,-0.709255
187.645462,-9.4598
185.553833,1.42761
186.498169,-10.1062
183.080917,-2.58831
189.425461,-9.5736
184.736542,-5.89753
192.430313,-1.50052
183.901932,-1.17396
182.009872,-2.43282
188.081711,-0.855371
189.883881,-4.88022
180.374451,-2.04153
180.951523,0.850339
190.240112,-5.24285
183.084763,-3.44829
191.663483,1.60191
186.641861,-8.00859
189.639633,-10.6225
180.316513,-2.88383
193.159637,-6.84043
189.928116,-0.6438
192.042252,-0.777717
185.705399,-9.58096
187.206604,-3.17144
182.469696,-0.547503
190.730713,-1.5565
183.606979,-0.947726
190.66684,-5.13159
189.449036,-9.49831
189.4198,-5.13379
187.979309,2.73169
190.522415,-4.18318
192.112213,-1.48421
187.362457,-10.7494
190.97464,0.166766
183.502289,-5.70648
188.297485,-1.60629
184.328522,-6.00703
190.455063,1.33137
190.355331,-1.97573
188.037933,0.634806
183.124588,-10.3231
192.44313,-8.64937
187.427673,-4.79443
181.602829,-0.683486
190.823532,-1.10834
191.140869,-0.91336
192.467697,-1.06975
193.809509,-2.80123
185.888962,2.39091
184.28656,-3.1895
189.049164,2.40025
190.786026,1.72884
191.400528,-6.83381
187.60083,-0.416137
191.851242,1.94865
184.97345,-8.5766
180.197754,-3.42006
187.126007,-0.356437
186.469086,-5.71276
191.647369,-2.51094
185.303253,-10.2652
193.967804,-1.30472
182.208817,-2.02946
188.060165,0.55443
185.660904,-7.19717
191.205139,1.2455
183.722626,-2.42791
189.325745,-1.4856
183.619431,-1.81822
191.24353,-8.7523
187.298752,-10.9317
189.937592,-4.02301
190.738464,0.497256
191.01268,-7.85417
183.425156,-0.260729
192.903549,-6.73748
182.590973,-0.329482
192.639328,-1.699
188.372833,-0.76479
192.32692,-8.44928
182.721924,-0.414785
184.146179,-6.71927
191.523819,0.312815
191.312134,1.44736
182.209534,-8.09727
181.231583,-3.13651
193.30011,-1.9002
192.957733,-8.76716
181.219757,-0.987477
189.889526,-5.31546
190.864227,-1.84684
193.365524,-2.21892
193.214142,-2.50083
180.809082,-2.95313
190.747009,0.698848
192.306946,-8.81121
184.150986,1.41439
189.80101,-4.97379
183.52623,-1.16397
191.044754,-7.27783
185.521729,1.81186
181.589981,0.948103
181.050613,-5.72404
181.181335,0.256993
180.741806,0.141305
186.649933,-7.97371
187.297256,1.12012
181.786911,0.406433
180.657379,0.269377
183.419098,-5.98514
180.932968,-2.48295
185.682205,-3.46123
183.024078,-8.36316
183.944809,-9.45635
190.4505,-0.871435
190.342484,-1.45576
189.574478,1.84889
180.454056,-1.13407
190.146683,-2.29771
182.333389,-2.22504
183.734344,0.397131
192.809357,-2.89715
188.814682,-9.35549
193.722641,-2.62303
183.6866,-8.27292
183.643951,-7.04692
190.349899,-4.0686
183.571106,1.17641
191.425674,-8.49792
182.54361,-8.62965
191.355759,0.436069
183.869995,-0.499614
190.736404,0.631223
186.13501,-9.31519
186.831207,2.01138
185.224503,-1.33881
190.64183,-2.87995
186.069382,-2.937
185.617111,0.880994
191.310822,1.80529
191.396957,1.98869
184.154434,-0.377816
191.367447,-6.83267
180.861298,-6.24356
190.65654,0.075729
183.458374,-6.56031
184.413864,-4.69596
185.092239,-6.85887
190.184662,-4.87413
184.62851,-4.89731
192.252151,-1.70297
191.168503,-0.0895358
182.463303,-0.67206
183.848999,-6.98184
189.478943,-3.74394
183.702454,-2.78792
180.717606,-3.43442
183.216309,-7.43375
187.399979,2.49949
188.115875,1.95853
182.588791,-9.41399
187.824188,-2.17067
180.720169,-6.80618
191.808609,-7.79274
186.772247,-10.3127
182.421143,0.657699
180.251816,-5.56598
188.225708,-10.5571
183.119934,-5.7559
192.40065,-6.63266
186.417892,-5.78993
191.886093,-7.88247
191.624466,-3.06705
184.151459,-4.64004
181.42627,-3.38566
192.65863,-8.57749
183.602112,1.62009
191.849365,-1.83627
180.785172,-1.99878
183.85939,0.526401
189.705902,-5.05244
193.706238,-1.63126
186.755661,1.1933
187.388672,-3.82117
193.789322,-1.09156
192.04274,-1.74698
190.536789,-2.46396
190.502945,0.753925
192.387527,-8.03385
191.303955,-0.682354
183.801315,-7.51964
184.094147,3.27257
187.648209,-4.61377
182.104813,-0.0330979
183.826172,-6.57606
191.295059,1.60023
189.501572,0.138218
182.93602,-4.27614
187.272156,-2.25056
186.666306,-9.15998
183.679596,-4.20881
192.618835,-8.94259
190.333832,-5.18407
190.111557,-2.11924
180.741028,0.0599732
186.516525,-0.313957
189.437866,-4.36993
182.709274,0.470815
187.199005,-3.22764
191.327393,1.9855
183.562347,-4.67522
190.442307,-2.32411
181.504486,-0.380568
192.37973,-8.92844
187.543991,-6.1859
189.72612,-5.62499
180.060928,-2.50951
183.46759,-3.92648
182.674225,-5.58844
184.354477,-0.776488
192.189835,-3.01116
186.266251,-6.68123
183.214127,-4.15744
193.820038,-2.77857
180.703674,0.691512
190.6763,-2.10909
192.478882,-3.1201
183.785248,-7.1321
185.604401,-10.6392
188.958847,-0.894134
182.41774,-5.73082
182.428741,-2.32865
182.755829,-5.55986
193.63829,-2.28407
180.450684,-5.20119
187.556656,-5.94312
185.296494,2.87818
190.370453,-1.47183
182.690521,-5.38994
186.413422,-9.37382
192.776215,-7.21795
192.110001,-8.84917
184.038803,3.19423
191.030106,1.32725
182.75618,-0.338593
186.022598,-7.77819
189.208923,-4.95784
188.009598,-3.94643
192.284851,-8.47326
182.881119,0.228822
189.987198,2.18184
191.123901,1.14468
181.899063,-2.21565
187.155396,2.64127
192.983231,-6.79083
191.20932,-6.44633
185.892456,-4.27341
189.956421,2.02274
186.835403,2.72878
181.81604,-0.51786
187.0289,1.99989
188.106384,-2.43484
184.842575,-0.637734
186.996231,-8.73202
181.915924,-2.53526
189.956833,1.63162
186.831635,2.6753
191.524811,-6.5562
185.971725,-6.30808
190.286575,-5.19632
182.677994,0.442687
187.526749,-5.18176
190.26622,-5.23488
183.86998,-6.11509
188.824142,1.97667
193.812347,-2.03914
185.061981,-0.654846
186.876251,-3.44447
187.894012,-10.4067
189.654404,-10.87
191.321548,-8.16348
191.226395,1.44079
187.095261,-7.4635
180.809158,0.847398
190.666824,0.157258
190.429504,1.0597
190.905197,1.98332
193.668549,-2.02947
190.987732,0.541548
181.460449,-0.513447
191.135406,0.613503
186.150253,-10.6704
180.416489,-6.77348
184.148163,-4.3596
190.028839,-4.49505
190.832916,1.75158
183.681381,-6.75969
184.337036,-0.808554
192.913727,-3.20776
190.76619,-2.04087
181.521851,0.058877
184.837021,-2.00719
190.588425,-4.21104
192.328369,-3.22152
188.02211,1.00542
181.455475,0.540219
181.090546,-2.05003
192.078735,-1.64763
189.820145,-5.16921
183.213486,-8.67876
193.353226,-1.41446
186.313141,-0.309593
189.17392,-1.61381
182.61409,-5.30886
191.889786,-1.48887
187.303589,0.817727
182.789642,-5.37977
192.563889,-1.55488
180.893829,-4.11441
185.479507,2.04068
181.853516,-9.32768
192.184692,-1.20379
