ra,dec
264.32006,-23.25199
266.32142,-23.38232
268.32035,-23.48986
270.31586,-23.5748
272.30694,-23.63741
274.29257,-23.67799
276.27171,-23.69692
278.24329,-23.69462
280.20625,-23.67157
282.15951,-23.62832
