RA_d,DEC_d
243.02472577,-23.24574664
238.254487,-14.975703
253.05547155,-26.9196741
240.761217,-18.101397
240.535225,-22.916361
243.4492233,-27.7927519
238.48276682,-23.97809783
241.935379,-20.600808
234.36874792,-26.2798649
240.55648471,-22.6875598
246.35117778,-23.46022054
246.24644357,-25.3549954
241.70177884,-20.66919173
239.19939259,-23.18407471
241.620771,-20.871322
242.52092,-21.54217
246.35117778,-23.46022054
241.70177884,-20.66919173
239.357325,-23.906114
249.2203583,-27.1385083
238.48276682,-23.97809783
244.979446,-15.640283
242.62033213,-22.22996246
243.29830008,-22.48518134
243.04121914,-23.92152627
243.29262,-19.07031
244.380787,-23.060001
244.56733335,-28.04170945
243.934042,-19.354797
245.97441259,-29.77780835
245.884756,-25.396814
242.180863,-26.038011
243.29830008,-22.48518134
240.897933,-22.765583
240.178221,-21.460567
252.54461597,-26.74254619
242.72960957,-25.52268484
241.4307986,-21.83880214
241.765542,-20.718731
243.746583,-27.839692
240.88927234,-30.13704511
239.25975,-19.844994
240.111246,-20.942114
240.535225,-22.916361
