ra,dec
348.14347,-6.15572
348.14360,-6.15569
348.14372,-6.15567
348.14384,-6.15565
348.14396,-6.15562
348.14408,-6.15560
348.14420,-6.15558
348.14432,-6.15556
348.14443,-6.15554
348.14455,-6.15551
348.14467,-6.15549
348.14478,-6.15547
348.14490,-6.15545
348.14501,-6.15543
348.14512,-6.15541
348.14523,-6.15539
348.14534,-6.15538
348.14545,-6.15536
348.14556,-6.15534
348.14567,-6.15532
348.14578,-6.15530
348.14589,-6.15529
348.14599,-6.15527
348.14610,-6.15525
348.14620,-6.15524
348.14630,-6.15522
348.14641,-6.15521
348.14651,-6.15519
348.14661,-6.15518
348.14671,-6.15516
348.14681,-6.15515
348.14691,-6.15513
348.14700,-6.15512
348.14710,-6.15511
348.14720,-6.15510
348.14729,-6.15508
348.14739,-6.15507
348.14748,-6.15506
348.14757,-6.15505
348.14766,-6.15504
348.14776,-6.15503
348.14785,-6.15502
348.14793,-6.15501
348.14802,-6.15500
348.14811,-6.15499
348.14820,-6.15498
348.14828,-6.15497
348.14837,-6.15496
348.14845,-6.15495
348.14854,-6.15494
348.14862,-6.15494
348.14870,-6.15493
348.14878,-6.15492
348.14886,-6.15492
348.14894,-6.15491
348.14902,-6.15491
348.14910,-6.15490
348.14918,-6.15490
348.14925,-6.15489
348.14933,-6.15489
348.14940,-6.15488
348.14948,-6.15488
348.14955,-6.15488
348.14962,-6.15487
348.14969,-6.15487
348.14976,-6.15487
348.14983,-6.15487
348.14990,-6.15486
348.14997,-6.15486
348.15004,-6.15486
348.15010,-6.15486
348.15017,-6.15486
348.15023,-6.15486
348.15030,-6.15486
348.15036,-6.15486
348.15042,-6.15486
348.15048,-6.15486
348.15055,-6.15487
348.15061,-6.15487
348.15066,-6.15487
348.15072,-6.15487
348.15078,-6.15488
348.15084,-6.15488
348.15089,-6.15488
348.15095,-6.15489
348.15100,-6.15489
348.15105,-6.15490
348.15111,-6.15490
348.15116,-6.15491
348.15121,-6.15491
348.15126,-6.15492
348.15131,-6.15493
348.15136,-6.15493
348.15140,-6.15494
348.15145,-6.15495
348.15150,-6.15496
348.15154,-6.15496
348.15159,-6.15497
348.15163,-6.15498
348.15167,-6.15499
348.15171,-6.15500
348.15175,-6.15501
348.15179,-6.15502
348.15183,-6.15503
348.15187,-6.15504
348.15191,-6.15505
348.15195,-6.15506
348.15198,-6.15508
348.15202,-6.15509
348.15205,-6.15510
348.15208,-6.15511
348.15212,-6.15513
348.15215,-6.15514
348.15218,-6.15515
348.15221,-6.15517
348.15224,-6.15518
348.15227,-6.15520
348.15230,-6.15521
348.15232,-6.15523
348.15235,-6.15525
348.15237,-6.15526
348.15240,-6.15528
348.15242,-6.15529
348.15245,-6.15531
348.15247,-6.15533
348.15249,-6.15535
348.15251,-6.15537
348.15253,-6.15538
348.15255,-6.15540
348.15257,-6.15542
348.15258,-6.15544
348.15260,-6.15546
348.15261,-6.15548
348.15263,-6.15550
348.15264,-6.15552
348.15266,-6.15555
348.15267,-6.15557
348.15268,-6.15559
348.15269,-6.15561
348.15270,-6.15563
348.15271,-6.15566
348.15272,-6.15568
348.15272,-6.15571
348.15273,-6.15573
348.15273,-6.15575
348.15274,-6.15578
348.15274,-6.15580
348.15275,-6.15583
348.15275,-6.15585
348.15275,-6.15588
348.15275,-6.15591
348.15275,-6.15593
348.15275,-6.15596
348.15275,-6.15599
348.15275,-6.15602
348.15274,-6.15604
348.15274,-6.15607
348.15273,-6.15610
348.15273,-6.15613
348.15272,-6.15616
348.15271,-6.15619
348.15270,-6.15622
348.15269,-6.15625
348.15268,-6.15628
348.15267,-6.15631
348.15266,-6.15634
348.15265,-6.15637
348.15264,-6.15641
348.15262,-6.15644
348.15261,-6.15647
348.15259,-6.15650
348.15258,-6.15654
348.15256,-6.15657
348.15254,-6.15661
348.15252,-6.15664
348.15250,-6.15667
348.15248,-6.15671
348.15246,-6.15675
348.15244,-6.15678
348.15241,-6.15682
348.15239,-6.15685
348.15236,-6.15689
348.15234,-6.15693
348.15231,-6.15696
348.15229,-6.15700
348.15226,-6.15704
348.15223,-6.15708
348.15220,-6.15712
348.15217,-6.15716
348.15214,-6.15720
348.15210,-6.15724
348.15207,-6.15728
348.15204,-6.15732
348.15200,-6.15736
348.15197,-6.15740
348.15193,-6.15744
348.15190,-6.15748
348.15186,-6.15752
348.15182,-6.15757
348.15178,-6.15761
348.15174,-6.15765
348.15170,-6.15769
348.15166,-6.15774
348.15161,-6.15778
348.15157,-6.15783
348.15153,-6.15787
348.15148,-6.15792
348.15143,-6.15796
348.15139,-6.15801
348.15134,-6.15805
348.15129,-6.15810
348.15124,-6.15815
348.15119,-6.15819
348.15114,-6.15824
348.15109,-6.15829
348.15104,-6.15834
348.15098,-6.15838
348.15093,-6.15843
348.15087,-6.15848
348.15082,-6.15853
348.15076,-6.15858
348.15071,-6.15863
348.15065,-6.15868
348.15059,-6.15873
348.15053,-6.15878
348.15047,-6.15883
348.15041,-6.15889
348.15034,-6.15894
348.15028,-6.15899
348.15022,-6.15904
348.15015,-6.15910
348.15009,-6.15915
348.15002,-6.15920
348.14995,-6.15926
348.14989,-6.15931
348.14982,-6.15937
348.14975,-6.15942
348.14968,-6.15948
348.14961,-6.15953
348.14953,-6.15959
348.14946,-6.15965
348.14939,-6.15970
348.14931,-6.15976
348.14924,-6.15982
348.14916,-6.15987
348.14908,-6.15993
348.14901,-6.15999
348.14893,-6.16005
348.14885,-6.16011
348.14877,-6.16017
348.14869,-6.16023
348.14861,-6.16029
348.14852,-6.16035
348.14844,-6.16041
348.14836,-6.16047
348.14827,-6.16053
348.14818,-6.16059
348.14810,-6.16065
348.14801,-6.16072
348.14792,-6.16078
348.14783,-6.16084
348.14774,-6.16091
348.14765,-6.16097
348.14756,-6.16103
348.14747,-6.16110
348.14738,-6.16116
348.14728,-6.16123
348.14719,-6.16129
348.14709,-6.16136
348.14699,-6.16143
348.14690,-6.16149
348.14680,-6.16156
348.14670,-6.16163
348.14660,-6.16169
348.14650,-6.16176
348.14640,-6.16183
348.14630,-6.16190
348.14619,-6.16197
348.14609,-6.16203
348.14599,-6.16210
348.14588,-6.16217
348.14577,-6.16224
348.14567,-6.16231
348.14556,-6.16238
348.14545,-6.16246
348.14534,-6.16253
348.14523,-6.16260
348.14512,-6.16267
348.14501,-6.16274
348.14490,-6.16282
348.14478,-6.16289
348.14467,-6.16296
348.14455,-6.16303
348.14444,-6.16311
348.14432,-6.16318
348.14420,-6.16326
348.14408,-6.16333
348.14397,-6.16341
348.14385,-6.16348
348.14372,-6.16356
348.14360,-6.16364
348.14348,-6.16371
348.14336,-6.16379
348.14323,-6.16387
348.14311,-6.16394
348.14298,-6.16402
348.14286,-6.16410
348.14273,-6.16418
348.14260,-6.16426
348.14247,-6.16434
348.14234,-6.16442
348.14221,-6.16450
348.14208,-6.16458
348.14195,-6.16466
348.14182,-6.16474
348.14168,-6.16482
348.14155,-6.16490
348.14141,-6.16498
348.14128,-6.16506
348.14114,-6.16515
348.14100,-6.16523
348.14086,-6.16531
348.14072,-6.16540
348.14058,-6.16548
348.14044,-6.16556
348.14030,-6.16565
348.14016,-6.16573
348.14002,-6.16582
348.13987,-6.16590
348.13973,-6.16599
348.13958,-6.16608
348.13943,-6.16616
348.13929,-6.16625
348.13914,-6.16634
