ra,dec
06h 44m 36.4s,023 17 08.2
06h 48m 35.3s,023 14 14.5
06h 55m 16.2s,023 06 56.3
07h 03m 54.4s,022 55 32.2
07h 14m 22.1s,022 39 10.1
07h 23m 45.7s,022 22 12.2
