RA_d,DEC_d
132.819987,11.189978
132.504796,11.941247
132.8126992,11.8225464
133.30145,11.375017
132.932875,11.945131
132.496688,11.478228
132.788104,11.950103
132.8207496,11.8359492
133.0472896,11.7605481
132.91346,11.8344081
132.689997,11.926585
132.895212,11.518511
132.336008,12.155553
132.491567,11.938042
132.756687,11.937876
133.045696,11.530331
132.501213,11.970603
133.035462,11.927897
133.09085,11.890433
132.800925,11.787442
132.3538,11.734936
132.585533,12.092972
132.652207,11.964065
133.0085196,11.2271131
132.736121,11.831847
132.801217,11.906389
132.393167,11.403478
132.8490542,11.8303747
132.853967,11.816883
132.702914,12.002531
132.797122,11.955898
132.81346,11.97717
132.403518,11.889492
133.055935,11.767038
132.870795,11.8425361
132.932875,11.945131
132.691254,11.867303
132.212125,11.951097
132.861829,11.811242
132.477483,11.350972
132.715952,11.948866
132.5261,12.241047
133.3012477,11.67455
132.5890436,11.9858003
132.781333,11.882278
132.881446,11.865958
132.998008,11.918034
133.014834,11.68997
132.801217,11.906389
133.214058,11.922256
132.756687,11.937876
132.867917,11.871528
132.936062,11.697511
132.8746041,11.78801859
132.5100125,11.9235528
132.707071,11.165592
132.7965524,11.4430237
132.80385,11.897836
132.783454,11.640553
132.772154,12.050353
133.018971,11.980242
133.060629,12.322247
133.078833,11.397097
132.83385,11.778261
133.016717,11.389811
132.985029,11.530831
132.774,11.729706
132.4674306,11.5467264
132.997458,12.230819
132.597475,11.866256
132.4867521,11.6924969
132.69385,12.439239
132.8410008,11.7216122
133.335458,12.091339
132.752858,11.678136
133.064362,11.883761
133.352446,11.848408
132.834712,11.764575
132.706837,11.585821
132.91774,12.376754
132.958021,11.555125
132.870795,11.8425361
132.757704,11.566983
132.835721,11.771217
132.434583,11.592428
133.277129,12.243725
132.804104,11.950256
132.693321,11.871317
133.198562,11.957267
133.115913,11.736094
133.236842,11.849281
132.9058546,11.8348119
133.38375,12.059428
132.7913071,11.7713753
132.420467,12.290094
132.525161,11.898295
133.344832,12.146805
132.809767,11.750108
132.9857617,11.7902731
132.8263938,11.7236692
132.632697,11.50212
133.281046,11.566203
133.03533,11.622652
132.784,12.345828
133.05955,11.847772
132.722282,11.727777
132.400867,11.446208
132.587925,12.353231
133.362146,12.177642
133.018971,11.980242
132.226908,11.518367
132.346404,12.026936
133.288754,11.820425
132.64134,11.774245
132.750629,12.414858
132.699479,12.2183
132.9000396,11.7760039
133.232921,11.703367
132.794938,11.664122
132.70058,12.11875
132.860133,11.730744
133.0414562,12.1753098
132.8115,11.79
132.921775,11.908058
133.006375,12.017681
132.8356296,11.7680208
132.866271,11.582606
132.420363,12.221672
132.689925,12.177744
132.704462,11.546269
132.822854,11.756303
132.63966,12.327851
132.55205,11.454581
132.7913071,11.7713753
132.682512,12.127958
132.8366333,11.6611456
132.576163,11.922544
133.239958,11.364336
132.8672771,11.82431
132.822854,11.756303
132.839595,11.984669
132.358075,11.5634
132.8921696,11.7821572
133.280971,12.055997
132.554746,11.958172
132.870795,11.8425361
132.8407071,11.7347381
132.864546,11.884025
132.885714,11.806692
132.748092,11.291945
133.045696,11.530331
133.013763,11.967958
133.329342,12.167339
133.037758,11.467114
132.756476,11.82619
132.853542,11.528597
133.421962,11.685083
132.898408,11.529797
132.822854,11.756303
132.632697,11.50212
132.539996,11.645025
132.907045,11.6177194
132.753192,11.886531
132.7179345,11.7509925
132.743108,11.970786
132.900646,11.648967
132.322658,11.825714
132.743566,11.801856
132.376004,11.593294
132.611334,11.323025
133.153167,12.019281
132.8831254,11.8866006
132.8921696,11.7821572
133.247821,12.182608
132.6828992,11.7420172
132.8857375,11.8446239
133.056475,11.469353
132.743783,11.812197
133.063519,11.450341
133.089983,11.957381
132.722282,11.727777
132.3027,11.488236
132.687992,11.600666
132.954105,11.727748
132.708121,11.820203
132.95155,11.30215
133.072725,11.511436
133.117562,11.851633
132.8366333,11.6611456
132.63421,11.530198
132.829508,11.440042
133.159617,11.591583
133.106567,11.382328
132.8329433,11.78346
132.8746041,11.78801859
132.548425,12.242681
132.8366313,11.8906022
132.794938,11.664122
132.8498,11.413739
133.356917,11.599131
132.6754239,11.4398506
132.860133,11.730744
132.8746041,11.78801859
132.814358,11.792072
132.87485,11.8525144
132.8850183,11.8003322
132.600724,11.666118
132.5890436,11.9858003
132.888967,11.766572
132.933388,11.773478
133.355167,12.118264
132.974325,11.518681
133.0910027,11.779632
132.932875,11.945131
133.173779,11.872175
132.998008,11.918034
132.860729,11.739372
132.983821,11.837439
133.244,12.039322
132.9547617,11.828775
132.8746041,11.78801859
132.823325,11.659994
132.937196,12.136436
132.774,11.729706
132.961985,11.869027
132.711404,11.584111
132.684258,11.515617
132.5778612,12.2669514
132.782628,11.993174
133.138288,11.983728
132.749025,11.656178
132.900304,11.796389
132.897513,11.965683
132.389125,11.467344
132.7320417,11.87076
132.23855,11.598564
132.868839,11.759397
132.4859653,11.9481342
132.863933,12.127969
132.696363,11.7152331
132.24405,12.025525
132.851538,11.830681
133.244767,12.224375
132.762492,11.495078
132.883985,11.6034939
132.409321,11.380503
132.731991,11.593177
132.4800417,11.2528536
132.396371,12.177647
132.827867,11.784083
132.898071,11.663047
132.576163,11.922544
132.204242,11.976006
132.983367,11.857356
132.9855738,11.8034828
132.900304,11.796389
132.874404,11.858319
132.81152,11.50246
132.917821,12.073544
132.701767,11.996373
133.347854,11.704908
132.910942,12.337272
132.411075,11.618519
133.006362,11.389617
132.9141092,11.8626839
132.468146,12.316311
133.34645,12.202547
133.204262,11.265427
132.811754,11.816636
132.858517,11.832086
132.799058,11.486847
132.956554,11.532633
132.8249633,11.7650606
132.890517,12.276017
132.941558,11.735928
132.78315,11.981496
132.9855738,11.8034828
133.157304,11.72545
132.500946,11.803853
133.0017367,11.9352967
132.8239375,11.8348925
132.878142,12.071108
132.754721,11.436647
132.8603386,11.6435784
132.784533,11.402017
132.821258,11.804497
132.802842,11.842942
133.181187,11.610544
132.659379,11.491447
132.8450146,11.8004944
132.442383,12.058375
132.308075,11.389186
132.61945,11.503217
133.463458,12.005517
132.8366333,11.6611456
132.77685,11.791836
132.439246,11.646797
132.953365,11.751923
132.966285,11.613134
132.974554,11.651347
132.952792,11.793222
132.8672771,11.82431
132.836776,12.091961
132.8725292,11.9038889
132.596838,11.188642
132.994163,11.870894
132.768725,11.862781
132.859087,11.897767
133.406713,11.754947
132.91141,11.7103803
132.8990775,11.8929883
132.95829,11.83136
132.882985,11.8546258
132.683417,11.713733
132.937827,11.796094
132.8407071,11.7347381
132.5035074,11.7027284
132.696458,11.875816
132.671817,11.937751
132.6986,11.747606
133.068713,11.793961
132.897821,11.575622
132.802904,11.878436
132.8282221,11.8552058
132.912117,11.194156
132.679575,11.261972
132.71825,12.292239
133.0017367,11.9352967
132.780971,11.614864
132.722282,11.727777
132.661204,11.433872
132.746817,11.943581
132.715487,11.802842
132.716308,11.39905
132.788104,11.950103
132.722696,11.74295
132.768302,12.140174
132.991129,11.762775
133.013763,11.967958
132.994892,11.834025
132.718896,12.149114
132.759654,11.797717
132.876338,11.856161
132.9093,12.085433
132.748879,11.664581
132.84065,11.861669
132.876875,11.816186
133.197638,11.969056
132.758546,11.755314
133.185054,11.817486
132.864546,11.884025
132.8990775,11.8929883
132.980658,12.290514
132.926425,11.835453
133.272292,11.579931
132.468929,11.551817
132.568854,11.912925
132.998008,11.918034
132.860133,11.730744
132.821646,11.710186
132.8921696,11.7821572
133.16242,11.91603
133.203517,12.046664
132.988254,12.334786
132.784958,11.786706
133.25096,11.68128
132.6584395,11.9113048
132.928286,11.991927
133.418133,11.615872
132.459033,11.425892
132.887274,11.913171
132.916971,11.878714
133.284112,11.612228
132.859087,11.897767
132.619383,11.676289
132.821258,11.804497
132.937827,11.796094
133.266771,11.362542
132.743721,11.994303
133.171537,11.846842
132.794512,11.266786
132.660713,11.77681
132.569204,12.125256
133.416771,12.103336
133.0066,12.322903
132.949621,11.579303
132.70245,11.25125
132.9265104,11.8564139
133.040054,11.779522
132.8928304,11.8288514
132.962437,11.796235
132.9076925,11.8491989
132.687463,11.62506
132.526479,11.941594
133.006325,12.149431
132.293142,11.523533
132.349158,11.910214
132.9591788,11.7685897
132.859087,11.897767
132.567621,12.326197
132.904858,11.984003
132.43905,12.207433
133.109859,11.691046
132.9547617,11.828775
132.544079,11.457158
132.862542,11.864603
132.706365,12.287729
132.888521,11.994758
132.808546,11.5585
132.741585,12.308936
132.724575,11.946246
132.900162,12.396403
132.833492,11.850458
133.069,11.327278
132.641281,12.097167
132.754304,11.309842
132.737779,11.947433
132.5414421,11.9983223
132.965675,11.181061
132.644942,12.142017
132.926425,11.835453
132.7467996,11.7702811
132.674952,11.614598
132.7333559,11.8977745
132.252013,12.064961
132.774808,11.852736
132.9141092,11.8626839
132.937205,11.6496998
132.801217,11.906389
132.9154024,12.2030234
132.581721,11.762397
132.662062,11.782129
132.784958,11.786706
133.1498506,11.6235306
132.210167,11.702967
132.8672771,11.82431
132.758546,11.755314
132.800546,11.911228
132.9011,11.427142
132.9314562,11.7406922
133.05033,12.02969
132.350454,11.353972
132.997317,12.199164
132.301575,11.770633
132.95564333,11.89415552
132.740096,11.920756
132.892675,11.764864
132.8139287,11.8373186
132.7877639,12.0506131
133.340008,12.194647
132.8700254,11.8666556
132.937827,11.796094
132.650558,11.721667
132.994982,11.804119
132.736121,11.831847
133.205187,11.868981
132.84065,11.861669
132.8450146,11.8004944
132.828017,11.930481
132.8329433,11.78346
