ra,dec
22 27 42.8,-010 26 33.0
22 27 55.5,-010 25 03.0
22 28 37.5,-010 20 45.0
22 29 46.4,-010 13 51.4
22 31 25.5,-010 04 03.2
22 33 17.0,-009 53 05.5
22 33 49.0,-009 49 57.2
