ra,dec
136.64098,16.8493
137.61928,16.56961
138.59537,16.28518
139.56929,15.99608
140.54105,15.7024
141.51069,15.40423
142.47824,15.10166
143.44371,14.79476
144.40715,14.48364
159.56868,9.00822
