RA_d,DEC_d
130.391,19.969083
129.920979,19.991358
129.332958,19.053328
129.079275,18.919008
130.209518,18.399841
130.369712,19.713622
130.043492,19.402061
131.096721,20.232139
128.510262,19.322772
131.57325,20.53219
130.7523,20.337825
130.110712,20.253678
127.42775,20.95203
130.088896,19.181825
130.048283,19.653278
129.254521,17.334769
130.816108,19.1092
130.020467,19.729247
129.99942,20.34386
129.037429,19.230031
129.12265,21.052894
130.12804,21.39256
128.217646,19.976647
129.945742,21.041211
130.02712,21.26481
129.88237,20.53581
130.542888,18.766772
132.048137,21.443103
131.609679,17.845694
129.71692,20.440895
130.849696,18.679208
130.0839249,19.3490044
130.35845,19.987553
129.791096,19.783036
129.649469,21.072325
130.092962,20.106772
129.343492,22.033439
130.432871,19.302283
129.636992,17.393903
130.960069,17.418831
129.58912,20.44811
129.004487,21.286489
131.169817,20.193647
129.9771,19.335833
129.673346,19.571692
129.842325,20.799558
126.98925,19.19192
128.319325,21.339025
130.263121,19.302583
132.8577,19.315675
130.139879,21.315208
130.244883,22.480556
130.7523,20.337825
129.729879,20.219161
130.641787,19.603417
130.041779,20.418975
129.502025,19.682292
130.358425,21.573697
130.093396,20.640875
130.243488,19.632694
131.936842,18.437717
132.001,20.4019
130.391,19.969083
129.842325,20.799558
127.804617,20.900111
130.777933,19.791589
131.235163,18.371425
131.132767,19.554819
130.209879,19.496192
130.5270721,19.4112553
127.703663,19.955933
130.496547,18.718645
130.633583,18.591161
130.142371,18.359197
130.803875,18.530806
129.457679,20.794639
129.33538,18.23847
129.675621,18.382097
131.285613,19.152286
132.031046,19.916444
129.447467,19.106869
129.31362,20.96642
130.198404,18.903317
127.366525,21.143981
128.290961,19.70089
130.476583,19.257417
130.132054,19.850292
129.916979,18.847011
129.9317,20.494322
129.695646,19.500928
129.39605,20.22405
127.94662,18.05625
129.901817,19.260517
128.044492,21.341578
129.10754,22.018091
130.390971,22.7988
129.757733,17.855783
130.787742,19.719983
130.903733,20.537244
129.971521,19.401047
131.708854,21.02025
130.86942,21.355465
130.991425,19.516472
130.476583,19.257417
128.308071,20.713425
130.132054,19.850292
128.840392,18.492847
130.00929,18.94917
127.976133,18.760053
132.108467,22.608694
130.879413,18.54855
129.556804,21.224794
128.915325,19.126786
128.388358,19.379864
132.67342,18.74144
129.350804,19.417003
129.309132,17.646793
129.909867,19.440892
131.137083,18.964075
130.530512,18.621372
132.249604,20.698764
130.547883,19.277044
128.724392,18.018211
129.728204,20.788028
129.865171,17.584411
131.974333,19.131481
129.655158,19.021142
131.54883,20.63353
128.295767,19.489497
134.467925,18.835286
129.223946,18.495875
129.249567,20.406522
130.249476,20.032461
132.214192,20.904275
130.223479,19.682789
130.497296,19.745892
129.171617,20.277764
129.76645,20.567314
131.441213,20.494731
130.0789,20.191861
132.318808,21.586717
130.395667,18.070164
129.258467,19.604758
129.634708,18.78135
128.227842,17.001664
127.461825,18.399083
131.974333,19.131481
130.772025,19.465175
