RA_d,DEC_d
65.746,14.33
66.7767,16.43
66.4071,17.3369
72.64090594,15.08345372
66.7775,16.4294
69.38327952,15.14645156
63.61356449,12.43531786
66.69967,14.19992
64.696,18.522
65.88471259,14.67047694
44.52175912,20.66873733
69.77566059,7.87098228
67.2754,15.0097
66.48571,16.21908
66.875,13.852
66.66958,18.07175
66.05326,16.3789264
67.15416174,19.18042906
67.717,14.445
70.3736406,13.2212025
67.7382151,10.75177025
67.38169493,17.8931851
67.09337,13.82278
65.617,17.732
68.73958,14.46897
67.7382151,10.75177025
66.835,15.8
67.69498268,16.1486963
64.97857166,16.5225912
67.81537299,20.13315573
64.09008,17.7135
66.30917,15.68556
67.26196,13.63297
64.7754,18.3542
63.60687784,14.6250347
65.63625,15.85692
65.66312,16.964
65.5592,15.5217
65.88471259,14.67047694
49.38658896,7.69015435
66.11801883,16.88616675
62.90854031,29.83017193
63.63465112,23.57494369
64.2786385,22.67331603
65.76954,15.31589
66.354246,17.915339
69.73881011,14.10557697
66.7696,15.4081
65.8654,17.0408
61.92493084,15.162785
66.94598472,14.41774855
65.68651967,16.79101792
65.73371889,17.54251353
58.29185936,17.32708362
63.94285204,15.40069578
66.57707325,21.47042923
62.67651658,18.42325299
72.59970016,17.20266313
58.75599592,12.4855828
68.64712175,15.50461888
64.78336794,17.52475019
69.0219287,15.6840064
70.20444571,23.80961966
66.9419785,11.73642254
69.01312,14.59361
66.7575,17.7483
65.85533408,15.76311328
66.892,16.62
65.51867,16.66261
64.5892,16.8594
67.496475,16.050342
66.57707325,21.47042923
67.37818594,26.67154907
67.14373348,15.9621804
62.67651658,18.42325299
63.94285204,15.40069578
68.63033,17.37228
67.67746,14.66156
70.02434075,23.30454195
67.0496,16.9592
67.8722781,13.90346815
65.558883,15.514589
69.6039946,17.5424269
67.821,17.308
64.38433,16.94975
65.68651967,16.79101792
70.20444571,23.80961966
67.2117421,16.2890217
66.5867,17.4728
74.34782573,0.99201242
61.56719774,15.69811757
67.24413,15.29406
67.333,16.497
61.92999946,16.51878856
66.05326,16.3789264
58.170933,25.804503
67.900837,12.438492
64.42133,17.02083
76.02259539,17.12487478
67.20123779,17.28546296
64.58030082,16.08834182
66.850308,14.118672
65.87666999,24.40540339
49.38658896,7.69015435
66.66717272,16.74689983
67.392,16.123
64.94834937,15.62764318
60.91266021,19.4550079
64.45208,16.93303
67.64729,14.75889
69.1921,14.3269
64.842,18.578
69.16967742,15.86932948
63.61356449,12.43531786
74.93467676,15.91673231
64.05233,18.88486
67.059421,16.966947
68.546437,11.557908
58.77709127,16.99847696
66.131329,13.928631
67.14373348,15.9621804
68.208795,16.0058122
66.06072612,21.73624474
67.3446,14.3194
66.5244171,15.5243333
