RA_d,DEC_d,Name,SpT,e_SpT,Teff,Vmag,B-V,Icmag,V-Ic,logL*,M*,e_M*,E_M*,Age,e_Age,E_Age,R*,e_R*,Per,Cl,Notes,Simbad,_RA,_DE
61.37867,21.85297,2MASS J04053087+2151106,M2,1.0,3490.0,14.67,1.37,12.3,2.37,-0.862,0.33,0.06,0.07,5.1,1.8,3.1,1.01,0.14,,3,f,Simbad,61.37867,21.85297
63.69944,26.80306,CX Tau,M2.50,1.0,3425.0,13.67,1.52,11.26,2.41,-0.479,0.33,0.07,0.08,1.8,0.4,0.7,1.64,0.25,3.302,2,,Simbad,63.69944,26.80306
65.51307,28.4275,V1071 Tau,M3,1.0,3360.0,13.49,1.56,11.06,2.44,-0.41,0.31,0.09,0.08,1.5,0.6,0.5,1.84,0.31,8.8,3,,Simbad,65.51307,28.4275
63.30893,28.31968,V1095 Tau,M4,1.0,3160.0,13.72,1.49,11.07,2.65,-0.374,0.22,0.08,0.13,0.5,0.41,1.1,2.17,0.46,2.5,3,,Simbad,63.30892,28.31968
63.69712,26.77401,FP Tau,M4,1.0,3160.0,13.85,1.51,11.33,2.52,-0.478,0.22,0.1,0.13,1.3,1.21,0.6,1.92,0.41,2.194,2,,Simbad,63.69712,26.77401
71.6775,24.98428,2MASS J04464260+2459034,M4,1.0,3160.0,,,13.11,3.65,-0.647,0.2,0.07,0.14,2.1,1.9,0.8,1.58,0.33,,3,f,Simbad,71.6775,24.98428
69.8161,30.5354,2MASS J04391586+3032074,M3.50,1.0,3260.0,,,13.95,2.88,-1.39,0.18,0.08,0.12,9.3,4.4,14.7,0.63,0.12,,,f,Simbad,69.8161,30.5354
67.81578,18.33531,2MASS J04311578+1820072,M4.25,0.25,3090.0,,,13.85,3.77,-0.928,0.17,0.03,0.04,2.9,0.7,0.7,1.2,0.15,,3,f,Simbad,67.81578,18.33531
70.83431,29.66835,2MASS J04432023+2940060,M5,1.0,2880.0,,,12.24,3.57,-0.58,0.14,0.06,0.1,0.2,0.17,1.9,2.06,0.47,,2,f,Simbad,70.83431,29.66835
67.71407,24.70619,ZZ Tau,M5,1.0,2880.0,14.35,1.49,11.31,3.04,-0.37,0.14,0.05,0.1,0.09,0.06,1.01,2.62,0.59,,2,f,Simbad,67.71407,24.70619
68.09212,18.46184,2MASS J04322210+1827426,M4.75,1.0,2950.0,,,13.27,3.53,-0.958,0.12,0.05,0.09,2.1,1.8,1.7,1.27,0.27,,2,f,Simbad,68.09212,18.46184
64.75823,28.37589,2MASS J04190197+2822332,M5,1.0,2880.0,,,14.64,4.96,-0.672,0.12,0.04,0.11,0.2,0.14,2.1,1.85,0.42,,3,f,Simbad,64.75823,28.37589
73.94102,30.55119,HD 31293,A0.50,1.5,,7.05,0.13,6.85,0.2,,,,,,,,,,6.551,2,c,Simbad,73.94102,30.55119
65.98359,24.45138,HD 283663,A1,1.0,,,,,,,,,,,,,,,0.392,3,c,Simbad,65.98359,24.45138
65.29578,25.8833,V412 Tau,A1,1.0,,,,,,,,,,,,,,,,3,"c,f",Simbad,65.29578,25.8833
64.10232,29.14967,HD 281820,A2,1.0,,,,,,,,,,,,,,,,3,"c,f",Simbad,64.10232,29.14967
64.68958,28.445,[SS94] V410 Anon 9,A2,1.0,,,,,,,,,,,,,,,,,"c,f",Simbad,64.68958,28.445
74.69277,29.8436,HD 31648,A4.50,2.0,,7.57,0.14,7.37,0.2,,,,,,,,,,,2,"c,f",Simbad,74.69277,29.8436
83.99361,24.74836,HD 36910,A8,1.0,,,,,,,,,,,,,,,,,"c,f",Simbad,83.99361,24.74836
82.61471,25.33252,HD 36112,A8,1.0,,8.31,0.28,7.92,0.39,,,,,,,,,,,,"c,f",Simbad,82.61471,25.33252
68.23528,22.39514,HD 284481,A8,1.0,,,,,,,,,,,,,,,,3,"c,f",Simbad,68.23528,22.39514
64.5141,24.66936,TYC 1819-1367-1,A9,1.0,,,,,,,,,,,,,,,,3,"c,f",Simbad,64.5141,24.66936
67.70958,23.00248,2MASS J04305028+2300088,F1,1.0,6990.0,,,13.45,3.85,0.817,,,,,,,1.75,0.25,,2,"b,f",Simbad,67.70958,23.00248
64.59331,28.41043,2MASS J04182239+2824375,G1,1.0,5970.0,,,,,,,,,,,,,,,2,"c,f",Simbad,64.59331,28.41043
61.66167,20.30309,HD 284149,G1,0.8,5970.0,9.52,0.6,8.86,0.66,0.41,,,,,,,1.5,0.18,1.079,,b,Simbad,61.66167,20.30309
63.24948,16.19672,HD 285579,G1,0.8,5970.0,11.02,0.74,,,0.0,,,,,,,0.93,0.11,,,"b,f",Simbad,63.24948,16.19672
74.25269,15.29809,HD 286179,G3,0.8,5740.0,10.3,0.66,,,0.155,,,,,,,1.21,0.15,3.513,,b,Simbad,74.25269,15.29809
56.45117,32.40331,IRAS 03426+3214,G3,1.0,5740.0,11.62,0.73,10.8,0.82,-0.307,,,,,,,0.71,0.09,,,"b,f",Simbad,56.45117,32.40331
58.62569,32.05124,HBC 353,G5,1.0,5500.0,12.35,0.94,11.21,1.14,-0.289,,,,,,,0.79,0.1,,3,"b,f",Simbad,58.62569,32.05124
64.99999,25.82976,HD 283592,G5,1.0,5500.0,,,,,,,,,,,,,,,,"c,f",Simbad,64.99999,25.82976
