RA_d,DEC_d,Name,SpT,e_SpT,Teff,Vmag,B-V,Icmag,V-Ic,logL*,M*,e_M*,E_M*,Age,e_Age,E_Age,R*,e_R*,Per,Cl,Notes,Simbad,_RA,_DE
60.95825,26.34394,2MASS J04034997+2620382,M5.25,0.25,2860.0,,,,,,,,,,,,,,,,"c,f",Simbad,60.95825,26.34394
63.6975,28.05153,2MASS J04144739+2803055,M5.25,0.25,2860.0,,,,,,,,,,,,,,,3,"c,f",Simbad,63.6975,28.05153
68.10948,18.46449,2MASS J04322627+1827521,M5.25,0.25,2860.0,,,12.84,3.41,-0.946,,,,,,,1.37,0.16,,3,"b,f",Simbad,68.10948,18.46449
73.91859,30.65159,2MASS J04554046+3039057,M5.25,0.25,2860.0,,,,,,,,,,,,,,,3,"c,f",Simbad,73.91859,30.65159
73.97036,30.11453,2MASS J04555289+3006523,M5.25,0.25,2860.0,,,,,,,,,,,,,,,3,"c,f",Simbad,73.97036,30.11453
65.28893,27.84357,2MASS J04210934+2750368,M5.25,1.0,2860.0,,,,,,,,,,,,,,,2,"c,f",Simbad,65.28893,27.84357
67.34022,27.02387,2MASS J04292165+2701259,M5.25,1.0,2860.0,,,,,,,,,,,,,,,2,"c,f",Simbad,67.34022,27.02387
64.89773,28.45606,FR Tau,M5.25,1.0,2860.0,,,,,,,,,,,,,,,2,"c,f",Simbad,64.89773,28.45606
65.10647,27.00988,2MASS J04202555+2700355,M5.25,1.0,2860.0,,,,,,,,,,,,,,,2,"c,f",Simbad,65.10647,27.00987
69.08967,23.85461,2MASS J04362151+2351165,M5.25,1.0,2860.0,,,,,,,,,,,,,,,2,"c,f",Simbad,69.08967,23.85461
67.90056,18.22869,2MASS J04313613+1813432,M5.50,1.0,2840.0,,,15.62,3.7,-2.022,,,,,,,0.4,0.07,,2,"b,f",Simbad,67.90056,18.22869
63.57337,28.10269,[BCG93] 1,M5.50,1.0,2840.0,,,,,,,,,,,,,,,2,"c,f",Simbad,63.57337,28.10269
73.95004,30.46806,2MASS J04554801+3028050,M5.50,1.0,2840.0,,,,,,,,,,,,,,,2,"c,f",Simbad,73.95004,30.46806
70.29494,25.9199,ITG 34,M5.50,1.0,2840.0,,,,,,,,,,,,,,,2,"c,f",Simbad,70.29494,25.9199
63.99164,27.77155,2MASS J04155799+2746175,M5.50,1.0,2840.0,,,,,,,,,,,,,,,2,"c,f",Simbad,63.99164,27.77155
64.16298,28.98032,2MASS J04163911+2858491,M5.50,1.0,2840.0,,,,,,,,,,,,,,,2,"c,f",Simbad,64.16298,28.98032
64.75461,28.32835,2MASS J04190110+2819420,M5.50,1.0,2840.0,,,,,,,,,,,,,,,2,"c,f",Simbad,64.75461,28.32835
64.62627,27.72245,2MASS J04183030+2743208,M5.50,1.0,2840.0,,,,,,,,,,,,,,,3,"c,f",Simbad,64.62627,27.72245
65.39416,27.02746,2MASS J04213460+2701388,M5.50,1.0,2840.0,,,,,,,,,,,,,,,2,"c,f",Simbad,65.39416,27.02746
68.25824,24.35,2MASS J04330197+2421000,M5.50,1.0,2840.0,,,13.29,3.79,-1.04,,,,,,,1.25,0.21,,3,"b,f",Simbad,68.25824,24.35
65.41725,28.23958,2MASS J04214013+2814224,M5.75,0.25,2820.0,,,,,,,,,,,,,,,3,"c,f",Simbad,65.41725,28.23958
65.44298,26.99156,2MASS J04214631+2659296,M5.75,1.0,2820.0,,,,,,,,,,,,,,,2,"c,f",Simbad,65.44298,26.99156
66.11026,26.83066,2MASS J04242646+2649503,M5.75,1.0,2820.0,,,,,,,,,,,,,,,2,"c,f",Simbad,66.11026,26.83066
64.57127,28.47831,2MASS J04181710+2828419,M5.75,1.0,2820.0,,,15.93,5.54,-1.086,,,,,,,1.2,0.18,,2,"b,f",Simbad,64.57127,28.47831
68.46883,22.94081,2MASS J04335252+2256269,M5.75,0.25,2820.0,,,,,,,,,,,,,,,3,"c,f",Simbad,68.46883,22.94081
68.92433,22.56989,2MASS J04354183+2234115,M5.75,1.0,2820.0,,,,,,,,,,,,,,,3,"c,f",Simbad,68.92433,22.56989
70.00727,25.94145,2MASS J04400174+2556292,M5.75,1.0,2820.0,,,,,,,,,,,,,,,3,"c,f",Simbad,70.00727,25.94145
68.92517,22.87297,2MASS J04354203+2252226,M5e,1.0,2880.0,,,,,,,,,,,,,,,3,"c,f",Simbad,68.92517,22.87297
68.06695,18.2129,2MASS J04321606+1812464,M6,1.0,2800.0,,,14.05,4.06,-1.322,,,,,,,0.93,0.15,,2,"b,f",Simbad,68.06695,18.2129
73.95707,30.32779,2MASS J04554970+3019400,M6,1.0,2800.0,,,,,,,,,,,,,,,2,"c,f",Simbad,73.95707,30.32779
68.2894,22.78019,2MASS J04330945+2246487,M6,1.0,2800.0,,,,,,,,,,,,,,,2,"c,f",Simbad,68.2894,22.78019
65.77529,28.02208,2MASS J04230607+2801194,M6,1.0,2800.0,,,,,,,,,,,,,,,2,"c,f",Simbad,65.77529,28.02208
69.75679,23.60083,2MASS J04390163+2336029,M6,1.0,2800.0,,,,,,,,,,,,,,,2,"c,f",Simbad,69.75679,23.60083
70.00283,23.97256,2MASS J04400067+2358211,M6,1.0,2800.0,,,,,,,,,,,,,,,2,"c,f",Simbad,70.00283,23.97256
66.62247,26.40383,2MASS J04262939+2624137,M6,1.0,2800.0,,,,,,,,,,,,,,,2,"c,f",Simbad,66.62247,26.40383
64.53319,28.43436,2MASS J04180796+2826036,M6,1.0,2800.0,,,14.07,4.18,-1.28,,,,,,,0.97,0.15,,3,"b,f",Simbad,64.53319,28.43436
68.28254,26.26851,2MASS J04330781+2616066,M6,1.0,2800.0,,,,,,,,,,,,,,,3,"c,f",Simbad,68.28254,26.26851
73.84721,30.46017,2MASS J04552333+3027366,M6.25,0.25,2762.5,,,,,,,,,,,,,,,3,"c,f",Simbad,73.84721,30.46017
63.5495,28.1982,2MASS J04141188+2811535,M6.25,1.0,2762.5,,,,,,,,,,,,,,,2,"c,f",Simbad,63.5495,28.1982
64.07857,27.87098,2MASS J04161885+2752155,M6.25,1.0,2762.5,,,,,,,,,,,,,,,3,"c,f",Simbad,64.07857,27.87098
68.01373,25.46884,2MASS J04320329+2528078,M6.25,1.0,2762.5,,,,,,,,,,,,,,,3,"c,f",Simbad,68.01372,25.46884
69.58892,26.15382,GM Tau,M6.50,1.0,2725.0,,,15.61,1.59,-1.89,,,,,,,0.51,0.07,,2,"b,f",Simbad,69.58892,26.15382
66.08708,26.51422,2MASS J04242090+2630511,M6.50,1.0,2725.0,,,,,,,,,,,,,,,2,"c,f",Simbad,66.08708,26.51422
65.06713,28.35904,2MASS J04201611+2821325,M6.50,1.0,2725.0,,,,,,,,,,,,,,,2,"c,f",Simbad,65.06713,28.35904
68.78545,23.19441,2MASS J04350850+2311398,M6.75,1.0,2687.5,,,,,,,,,,,,,,,3,"c,f",Simbad,68.78545,23.19441
67.85024,18.00598,2MASS J04312405+1800215,M7,0.25,2650.0,,,14.0,4.4,-1.19,,,,,,,1.21,0.14,,3,"b,f",Simbad,67.85024,18.00598
69.94785,26.02799,2MASS J04394748+2601407,M7,1.0,2650.0,,,,,,,,,,,,,,,2,"c,f",Simbad,69.94785,26.02799
63.85042,29.17874,2MASS J04152409+2910434,M7,1.0,2650.0,,,,,,,,,,,,,,,3,"c,f",Simbad,63.85042,29.17874
68.56363,22.84193,2MASS J04341527+2250309,M7,1.0,2650.0,,,,,,,,,,,,,,,2,"c,f",Simbad,68.56363,22.84193
69.56192,26.19443,2MASS J04381486+2611399,M7.25,1.0,2630.0,,,,,,,,,,,,,,,2,"c,f",Simbad,69.56192,26.19443
69.7665,25.74067,2MASS J04390396+2544264,M7.25,1.0,2630.0,,,,,,,,,,,,,,,2,"c,f",Simbad,69.7665,25.74067
71.11305,25.20456,IRAS S04414+2506,M7.25,1.0,2630.0,,,,,,,,,,,,,,,2,"c,f",Simbad,71.11305,25.20456
67.86121,27.05523,2MASS J04312669+2703188,M7.25,1.0,2630.0,,,,,,,,,,,,,,,3,"c,f",Simbad,67.86121,27.05522
69.5035,25.98256,2MASS J04380084+2558572,M7.25,1.0,2630.0,,,,,,,,,,,,,,,3,"c,f",Simbad,69.5035,25.98256
64.71315,28.24257,2MASS J04185115+2814332,M7.50,1.0,2610.0,,,,,,,,,,,,,,20.0,3,d,Simbad,64.71315,28.24257
67.44033,26.513,2MASS J04294568+2630468,M7.50,1.0,2610.0,,,,,,,,,,,,,,,3,"c,f",Simbad,67.44033,26.513
68.20944,24.36988,2MASS J04325026+2422115,M7.50,1.0,2610.0,,,,,,,,,,,,,,,3,"c,f",Simbad,68.20944,24.36988
69.77658,23.57167,2MASS J04390637+2334179,M7.50,1.0,2610.0,,,,,,,,,,,,,,,3,"c,f",Simbad,69.77658,23.57167
69.04328,22.9989,2MASS J04361038+2259560,M7.50,1.0,2610.0,,,,,,,,,,,,,,,2,"c,f",Simbad,69.04328,22.9989
64.94406,27.21534,2MASS J04194657+2712552,M7.50,0.25,2610.0,,,,,,,,,,,,,,,,"c,f",Simbad,64.94406,27.21534
70.45104,25.57514,2MASS J04414825+2534304,M7.75,1.0,2590.0,,,,,,,,,,,,,,,2,"c,f",Simbad,70.45104,25.57514
65.5685,25.81996,2MASS J04221644+2549118,M7.75,1.0,2590.0,,,,,,,,,,,,,,,3,"c,f",Simbad,65.5685,25.81996
67.82947,23.58464,2MASS J04311907+2335047,M7.75,1.0,2590.0,,,,,,,,,,,,,,,3,"c,f",Simbad,67.82947,23.58464
68.09708,24.05038,2MASS J04322329+2403013,M7.75,1.0,2590.0,,,,,,,,,,,,,,,3,"c,f",Simbad,68.09708,24.05038
69.16224,22.96997,2MASS J04363893+2258119,M7.75,1.0,2590.0,,,,,,,,,,,,,,,3,"c,f",Simbad,69.16224,22.96997
65.55551,19.57757,2MASS J04221332+1934392,M8,1.0,2570.0,,,,,,,,,,,,,,,3,"c,f",Simbad,65.55551,19.57757
68.21333,17.50256,2MASS J04325119+1730092,M8.25,0.25,2540.0,,,,,,,,,,,,,,,3,"c,f",Simbad,68.21333,17.50256
67.25284,27.91761,2MASS J04290068+2755033,M8.25,1.0,2540.0,,,,,,,,,,,,,,,2,"c,f",Simbad,67.25284,27.91761
67.73828,25.9443,2MASS J04305718+2556394,M8.25,1.0,2540.0,,,,,,,,,,,,,,,2,"c,f",Simbad,67.73828,25.9443
66.93908,23.95676,2MASS J04274538+2357243,M8.25,1.0,2540.0,,,,,,,,,,,,,,,3,"c,f",Simbad,66.93908,23.95676
70.43707,23.03094,2MASS J04414489+2301513,M8.50,1.0,2510.0,,,,,,,,,,,,,,,2,"c,f",Simbad,70.43707,23.03094
68.46858,26.21525,2MASS J04335245+2612548,M8.50,1.0,2510.0,,,,,,,,,,,,,,,2,"c,f",Simbad,68.46858,26.21525
69.04295,21.99346,2MASS J04361030+2159364,M8.50,1.0,2510.0,,,,,,,,,,,,,,,2,"c,f",Simbad,69.04295,21.99346
67.53018,26.13911,2MASS J04300724+2608207,M8.50,1.0,2510.0,,,,,,,,,,,,,,,2,"c,f",Simbad,67.53018,26.13911
63.81131,28.00267,2MASS J04151471+2800096,M8.50,1.0,2510.0,,,,,,,,,,,,,,,3,"c,f",Simbad,63.81131,28.00267
67.59856,23.98694,2MASS J04302365+2359129,M8.50,1.0,2510.0,,,,,,,,,,,,,,,3,"c,f",Simbad,67.59856,23.98694
68.9643,22.81999,2MASS J04355143+2249119,M8.50,1.0,2510.0,,,,,,,,,,,,,,,3,"c,f",Simbad,68.9643,22.81999
65.4771,26.87542,2MASS J04215450+2652315,M8.50,1.0,2510.0,,,,,,,,,,,,,,,2,"c,f",Simbad,65.4771,26.87542
66.62729,24.73219,2MASS J04263055+2443558,M8.75,1.0,2480.0,,,,,,,,,,,,,,,2,"c,f",Simbad,66.62729,24.73219
68.42882,25.44639,2MASS J04334291+2526470,M8.75,1.0,2480.0,,,,,,,,,,,,,,,3,"c,f",Simbad,68.42882,25.44639
64.75529,28.04686,2MASS J04190126+2802487,M9,1.0,2450.0,,,,,,,,,,,,,,,2,"c,f",Simbad,64.75529,28.04686
74.4543,30.25542,2MASS J04574903+3015195,M9.25,0.25,2420.0,,,,,,,,,,,,,,,3,"c,f",Simbad,74.4543,30.25542
68.9386,27.6203,2MASS J04354526+2737130,M9.25,1.0,2420.0,,,,,,,,,,,,,,,3,"c,f",Simbad,68.9386,27.6203
66.86665,26.20146,2MASS J04272799+2612052,M9.50,1.0,2390.0,,,,,,,,,,,,,,,2,"c,f",Simbad,66.86665,26.20146
