ra,dec
220.78934,-14.54573
221.53776,-14.12125
222.42765,-13.80579
223.44588,-13.58672
224.58094,-13.45223
225.82275,-13.39143
227.16255,-13.39434
228.59279,-13.45184
230.10692,-13.55566
231.69931,-13.69824
233.36513,-13.87271
235.10022,-14.07278
236.90099,-14.29266
238.76437,-14.52705
240.68768,-14.77101
242.66862,-15.01996
244.70517,-15.26963
246.79554,-15.51599
248.93813,-15.75526
251.13152,-15.98385
253.37435,-16.19835
255.66538,-16.39553
258.00339,-16.57228
