ra,dec
185.9750366,-3.442935
185.9759979,-3.4418571
183.25964,-4.553365
183.2596436,-4.5533652
186.3314209,-1.598976
187.2114563,-2.060775
187.2114563,-1.9391921
183.4116821,-1.293556
183.411685,-1.293556
187.2412262,-1.602612
188.0983429,-1.740016
188.8729095,-3.793153
180.196508,-3.420171
180.1965027,-3.420171
189.5137939,-2.2638769
189.5144653,-2.2633319
189.5128632,-2.2626431
189.9765625,-5.3571339
189.4510956,-1.34516
190.1538544,-5.1326108
190.1872101,-5.3025551
190.1860352,-5.3020358
185.1152649,1.469759
185.114684,1.471
185.116312,1.468389
188.4942169,0.386955
188.4934387,0.38688
184.9716492,1.773442
184.971646,1.773442
185.8462524,1.816797
185.0476685,1.958547
